City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
276,Camacha,PT,59.0,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
278,Viedma,AR,62.01,overcast clouds,-40.8135,-62.9967,Hotel Cristal
279,Jatibonico,CU,72.48,light rain,21.9419,-79.17,"Hostel ""Los Tomasos"""
282,Pacific Grove,US,55.0,few clouds,36.6177,-121.9166,Lovers Point Inn
288,Saint-Denis,FR,44.01,overcast clouds,48.9167,2.3333,Appart'City Paris Clichy Mairie - Appart Hôtel
292,Xiaoweizhai,CN,58.78,broken clouds,26.1903,107.5125,Karst Youth Hostel
293,Cayenne,GF,77.0,heavy intensity rain,4.9333,-52.3333,Hôtel Le Dronmi
295,Wamba,NG,72.82,broken clouds,8.9333,8.6,Roma Zee Guest House Annex
296,Belmonte,BR,78.8,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
297,Trinidad,BO,76.87,broken clouds,-14.8333,-64.9,Hotel Piesta
298,Kahului,US,78.8,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
302,Taltal,CL,63.73,clear sky,-25.4,-70.4833,Residencial Karime
304,Sayyan,YE,45.07,clear sky,15.1718,44.3244,متنزه و بحيرة سيان
305,Taft,IR,44.6,clear sky,31.7471,54.2088,بوم گردی حاجی زینل تفت
309,Tarata,BO,68.0,scattered clouds,-17.6167,-66.0167,Alojamiento IV Centenario
310,Tabas,IR,46.4,overcast clouds,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
312,Kirakira,SB,79.56,overcast clouds,-10.4544,161.9205,SanBiz Lodge
314,Ganganagar,IN,49.42,clear sky,29.9167,73.8833,Amor hotel
316,Naze,JP,61.03,clear sky,28.3667,129.4833,奄美ポートタワーホテル
317,Prince Rupert,CA,41.0,overcast clouds,54.3161,-130.3201,Crest Hotel
318,Bredasdorp,ZA,66.2,light rain,-34.5322,20.0403,Bredasdorp Country Manor
320,Dunmore Town,BS,75.7,clear sky,25.5,-76.65,Coral Sands Hotel
321,Chimbote,PE,71.08,overcast clouds,-9.0853,-78.5783,Hotel Briliá
322,Artyom,AZ,46.4,clear sky,40.4723,50.333,Merdan Respect
323,Sherghati,IN,48.2,fog,24.5667,84.7833,Mamu Hotal
326,Rancho Grande,BR,66.99,overcast clouds,-23.5057,-46.3585,Hotel Amora
327,Guozhen,CN,51.31,overcast clouds,34.3659,107.359,Yucai Hotel
328,Mayumba,GA,79.63,light rain,-3.432,10.6554,LIKWALE LODGE
329,Praia Da Vitoria,PT,60.8,few clouds,38.7333,-27.0667,Hotel Branco I
