City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
26,Saint-Philippe,RE,-21.3585,55.7679,80.6,78,42,5.75,scattered clouds
27,Aguilar,ES,37.5148,-4.6572,48.99,75,95,4.0,overcast clouds
28,Jamestown,US,42.097,-79.2353,21.0,73,90,12.66,light snow
29,Arraial Do Cabo,BR,-22.9661,-42.0278,77.0,78,75,5.75,moderate rain
30,Ribeira Grande,PT,38.5167,-28.7,60.8,77,40,20.71,scattered clouds
31,Chuy,UY,-33.6971,-53.4616,76.84,59,1,7.76,clear sky
32,Thinadhoo,MV,0.5333,72.9333,82.13,74,27,12.71,scattered clouds
33,Mataura,NZ,-46.1927,168.8643,51.69,87,99,1.79,overcast clouds
34,Puerto Ayora,EC,-0.7393,-90.3518,84.2,70,0,17.27,clear sky
35,Ranong,TH,9.9658,98.6348,74.97,87,7,5.17,clear sky
36,Aswan,EG,24.0934,32.907,71.89,31,0,14.18,clear sky
37,Busselton,AU,-33.65,115.3333,63.0,98,99,11.95,overcast clouds
38,Kaduqli,SD,11.0167,29.7167,74.43,18,30,7.54,scattered clouds
39,Noyabrsk,RU,63.1994,75.4507,24.78,98,96,18.54,light snow
40,Panjakent,TJ,39.4952,67.6093,51.8,66,100,6.91,overcast clouds
41,Saskylakh,RU,71.9167,114.0833,-38.13,78,27,11.86,scattered clouds
42,Pontevedra,ES,42.431,-8.6444,51.01,100,90,16.11,moderate rain
43,Hilo,US,19.7297,-155.09,62.6,59,1,9.22,clear sky
44,Cape Town,ZA,-33.9258,18.4232,71.01,60,0,24.16,clear sky
45,Kununurra,AU,-15.7667,128.7333,78.8,100,100,11.5,moderate rain
46,Severo-Kurilsk,RU,50.6789,156.125,18.16,88,88,14.79,overcast clouds
47,Swan Hill,AU,-35.3378,143.5544,58.41,62,90,11.65,overcast clouds
48,Tasiilaq,GL,65.6145,-37.6368,21.2,58,0,3.44,clear sky
49,Ahuimanu,US,21.4447,-157.8378,64.0,82,1,2.15,clear sky
50,Bage,BR,-31.3314,-54.1069,84.2,54,0,4.61,clear sky
51,Airai,TL,-8.9266,125.4092,60.93,100,100,2.57,overcast clouds
